1  Как начать разработку под iOS?	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/2/
94	Операционные системы	http://events.yandex.ru/events/kit/1/talks/645/
95	Архитектура ЭВМ	http://events.yandex.ru/events/kit/1/talks/646/
96	Операционная система GNU/Linux: устройство и функционирование	http://events.yandex.ru/events/kit/1/talks/647/
97	Системы хранения данных	http://events.yandex.ru/events/kit/1/talks/648/
98	Файловые системы	http://events.yandex.ru/events/kit/1/talks/649/
99	Сети и протоколы	http://events.yandex.ru/events/kit/1/talks/650/
100	Сети и протоколы. Виртуализация	http://events.yandex.ru/events/kit/1/talks/651/
101	Безопасность информационных систем	http://events.yandex.ru/events/kit/1/talks/652/
102	Чем занимается системный администратор?	http://events.yandex.ru/events/kit/2/talks/589/
103	Операционные системы	http://events.yandex.ru/events/kit/2/talks/590/
104	Архитектура ЭВМ	http://events.yandex.ru/events/kit/2/talks/591/
105	Популярный Linux	http://events.yandex.ru/events/kit/2/talks/592/
106	Системы хранения данных	http://events.yandex.ru/events/kit/2/talks/593/
107	Сети, протоколы и сетевое оборудование	http://events.yandex.ru/events/kit/2/talks/594/
108	Файловые системы	http://events.yandex.ru/events/kit/2/talks/595/
109	Информационная безопасность	http://events.yandex.ru/events/kit/2/talks/596/
110	Виртуализация	http://events.yandex.ru/events/kit/2/talks/597/
111	Основы MySQL	http://events.yandex.ru/events/kit/2/talks/598/
112	Представляем API Яндекс.Карт 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/73/
113	Координаты, слои и тайлы в API 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/74/
114	Архитектура 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/75/
115	Настройка карты: внешний вид и поведение	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/77/
116	Как отобразить много точек на карте. Кластеризатор	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/78/
117	Графика на карте в API 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/80/
118	API 2.0 для touch-устройств	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/81/
119	Масштабирование структурных предсказаний	http://events.yandex.ru/events/science-seminars/MIT-jan-2011/talks/586/
120	Извлечение информации из социальных медиа	http://events.yandex.ru/events/science-seminars/MIT-jan-2011/talks/587/
121	On Context-Dependent Bayesian Networks and Their Applications	http://events.yandex.ru/events/science-seminars/Ben-Gal-dec-2011/talks/588/
122	Algorithms of On-line Search for Static or Moving Target	http://events.yandex.ru/events/science-seminars/Ben-Gal-dec-2011/talks/662/
123	Evaluation Multi-Query Sessions	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/601/
124	System Effectiveness, User Models and User Utility	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/602/
125	Efficient Diversification of Web Search Results	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/603/
126	Efficient Query Suggestions in the Long Tail	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/604/
127	Beyond Query Suggestions: Recommending Tasks to SE Users	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/605/
128	Быстрый динамический анализ программ на примере поиска гонок (data races)	http://events.yandex.ru/events/science-seminars/dataraces-may-2011/talks/632/
129	Adapting Rankers Online	http://events.yandex.ru/events/science-seminars/de-Rijke-jun-2011/talks/631/
130	Про офис разработки Яндекса в Беларуси	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/91/
131	"Peer-to-peer search that works"	http://events.yandex.ru/events/science-seminars/Hiemstra-apr-2011/talks/643/
132	Методы классификации документов в поиске	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/92/
134	Constructional syntactic analysis for information access tasks	http://events.yandex.ru/events/science-seminars/Karlgren-feb-2011/talks/653/
135	Поиск для сайта: зачем он нужен, как с ним работать, как и зачем его улучшать	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/93/
136	Правиловая система машинного перевода ЭТАП-3: опыт разработки и некоторые уроки	http://events.yandex.ru/events/science-seminars/Iomdin-jan-2011/talks/654/
137	История создания БЭМ. Кратко, сбивчиво и неполно	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/95/
138	Использование кастомных шрифтов	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/96/
139	AJAX в поиске по вебу	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/97/
140	Как мы делаем code review	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/99/
141	JS API Яндекс.Карт 2.0: что нового и как это работает	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/100/
142	Архитектура сервиса Яндекс.Диск. Замыслы и реальность	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/101/
143	Hello WP7: начинаем разработку	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/103/
